601	6	6-6-6-6-5-5-5-3-5-6-4-5	5-6-4-6-6-5-5-5-5-6-6-5	6-6-4-5-6-4-6-6-6-6-4-6	5-6-5-6-6-6-5-6-5-6-5-6	5-6-4-5-2-5-1-6-5-5-5-4	6-6-4-6-6-6-6-5-6-6-5-3	6-5-3-3-5-6-4-5-3-4-4-4	4-6-6-6-5-6-5-6-3-3-6-6	1-5-6-6-6-2-5-4-1-6-3-6	1-6-6-5-5-4-5-3-6-5-6-1	6-6-4-4-6-4-2-3-6-6-3-6	6-5-6-1-6-0-6-5-6-1-5-5
602	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
602	1	1-1-1-1-1-1-1-1-1-1-1-1	2-0-0-1-0-0-1-0-0-0-1-2	1-0-2-2-2-1-2-0-2-0-0-0	0-1-1-0-1-2-0-1-0-0-3-0	1-0-1-0-2-1-3-1-0-2-2-1	1-1-1-2-1-2-0-0-0-1-2-1	1-0-1-2-2-2-2-0-3-2-1-2	1-1-1-0-2-1-1-1-0-1-2-1	2-0-1-1-0-2-1-1-3-2-2-1	3-1-1-1-3-1-1-0-1-3-1-1	1-0-1-2-1-1-3-1-1-1-1-0	1-2-1-1-1-2-1-2-0-0-1-1
602	2	1-1-2-1-3-3-2-3-2-2-1-3	1-0-3-1-0-3-3-3-3-2-2-1	1-3-1-1-1-1-1-2-3-3-0-1	3-2-1-3-2-1-3-1-0-2-0-2	2-2-2-0-1-1-1-2-1-1-1-2	2-2-1-1-2-1-2-0-0-2-3-2	2-1-2-1-1-1-1-3-0-1-1-1	3-1-1-2-3-2-0-1-2-2-1-2	1-3-2-1-2-1-3-2-1-1-1-0	2-1-1-3-0-3-3-0-2-1-0-2	2-2-2-1-2-2-3-0-2-1-3-0	0-1-0-2-2-1-2-3-2-2-3-1
602	3	3-3-3-3-2-2-2-3-3-3-2-2	3-3-2-3-3-2-2-3-2-3-3-2	3-2-1-3-2-2-3-3-3-3-0-0	2-3-3-2-3-1-2-3-3-3-1-3	2-3-3-3-1-3-1-3-3-0-1-2	3-3-3-3-3-1-3-0-3-2-2-3	3-3-3-1-0-1-2-2-1-2-3-3	2-0-3-3-2-3-3-3-2-1-3-3	1-2-3-3-3-3-2-2-1-3-3-3	1-3-3-2-1-2-2-1-3-1-3-3	3-3-3-2-3-2-1-1-3-3-2-3	3-0-0-1-3-0-3-2-3-2-2-0
603	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
603	1	1-1-1-1-1-1-1-1-1-1-1-1	2-0-0-1-0-0-0-1-0-0-1-1	2-0-0-0-1-2-2-0-0-2-2-0	2-1-1-2-1-2-1-2-0-0-1-0	1-0-1-0-2-0-8-1-0-0-2-1	1-1-1-5-0-2-2-0-0-1-2-0	0-2-7-0-2-3-1-0-1-2-1-2	1-0-2-0-2-1-1-1-0-2-1-1	2-0-1-1-0-0-1-1-2-2-2-1	0-1-1-1-0-2-0-1-1-1-1-1	1-0-0-0-1-1-0-1-1-1-1-0	0-1-1-1-0-0-1-0-1-0-1-1
603	2	3-2-3-2-2-2-2-2-2-2-2-2	3-3-2-1-3-3-3-2-0-2-2-3	1-3-4-3-3-1-1-0-6-1-1-3	3-3-2-1-3-1-3-1-0-0-1-0	3-2-3-0-1-0-5-2-3-1-1-3	0-1-3-6-2-1-3-0-0-2-3-2	3-3-3-1-1-1-5-3-0-1-1-1	0-0-1-3-3-2-0-0-2-1-1-5	1-0-1-2-0-0-0-1-1-5-3-0	0-5-5-0-0-1-5-0-1-0-0-1	0-2-3-3-2-0-1-0-0-1-3-0	0-0-0-3-3-0-3-0-0-0-0-3
603	3	2-3-2-3-3-3-3-3-3-3-3-3	3-2-3-3-3-2-2-3-2-3-3-2	3-4-3-2-2-3-4-4-2-1-0-2	2-2-2-3-2-1-2-3-0-3-3-3	2-3-2-5-2-0-2-3-2-0-2-4	3-1-2-1-3-1-2-0-5-3-4-3	2-2-4-6-5-1-4-2-0-5-5-4	0-0-1-2-4-3-6-0-3-1-1-2	1-0-3-3-0-4-4-2-3-4-2-3	0-2-2-4-0-1-2-0-3-3-0-0	4-4-2-2-3-2-4-3-3-3-2-0	0-3-0-2-2-4-2-2-4-3-4-2
603	4	5-5-5-5-5-5-5-6-5-6-4-5	4-5-5-3-6-4-5-6-4-3-5-5	5-5-6-4-3-5-5-6-5-5-5-4	5-5-7-4-2-5-5-7-5-5-5-5	5-5-2-4-4-5-7-3-5-5-5-3	4-5-5-2-3-5-5-5-4-3-5-4	2-5-3-5-5-4-3-5-4-5-3-5	7-5-8-5-5-3-5-4-4-5-4-2	3-6-4-5-5-5-5-5-5-3-3-3	4-3-4-5-5-4-4-5-5-4-8-1	5-7-5-4-1-5-5-3-5-7-5-5	4-3-6-6-4-6-4-5-6-4-6-5
603	5	4-4-4-4-4-4-5-8-4-4-5-4	4-4-4-7-4-4-4-4-4-5-4-4	4-4-4-6-6-4-4-4-4-4-4-4	6-4-4-4-6-7-4-4-4-4-4-4	4-4-2-4-4-4-2-5-4-4-4-6	4-4-2-1-5-4-4-4-4-2-6-5	2-4-5-4-4-1-8-4-4-4-3-4	4-4-5-4-6-5-4-6-8-4-5-2	5-0-5-4-4-4-4-5-4-2-6-5	0-2-2-7-4-6-2-4-4-3-7-1	4-4-4-6-3-4-4-5-4-5-4-4	0-6-7-2-6-4-4-4-5-4-4-4
603	6	4-5-4-4-4-6-4-4-4-4-4-4	7-4-6-5-4-4-4-4-4-5-4-4	7-5-4-5-5-4-7-4-7-7-4-4	7-7-7-6-7-5-6-4-4-4-4-4	7-4-7-4-7-7-2-5-4-5-7-5	6-5-6-2-5-1-5-2-4-5-5-5	6-6-5-5-4-2-7-4-6-5-7-7	5-4-4-4-5-6-3-5-2-4-8-7	5-4-5-6-4-4-5-4-4-7-5-3	0-1-7-8-0-7-5-0-4-1-1-1	6-6-8-5-6-7-6-5-4-1-4-0	0-5-7-4-5-4-2-7-4-4-4-4
603	7	8-7-4-4-8-6-8-4-4-4-5-8	6-8-6-5-4-4-8-4-8-5-4-8	6-8-8-5-5-6-6-6-6-6-8-4	6-6-4-6-6-5-7-4-8-6-8-6	6-7-6-8-6-6-4-5-4-4-8-6	7-4-6-8-5-4-6-0-7-6-8-5	6-7-8-5-8-7-5-8-7-8-6-6	4-4-0-4-8-5-8-8-4-5-6-2	1-8-3-2-7-4-5-7-3-6-7-5	8-6-6-5-8-6-8-8-7-7-5-1	6-6-4-8-6-6-5-1-6-4-8-8	7-5-6-5-5-5-6-6-7-4-8-7
603	8	8-8-8-4-7-4-7-5-4-7-5-7	7-7-7-5-7-4-7-4-7-8-8-7	8-7-7-8-5-8-8-8-8-8-6-7	7-8-6-7-8-8-7-8-7-8-4-8	8-8-8-7-6-6-1-8-8-7-7-5	8-8-8-8-8-8-8-0-6-8-7-8	8-8-8-7-7-8-5-7-7-7-6-8	5-4-8-8-7-8-7-7-5-8-6-8	8-7-8-8-7-5-4-8-7-8-8-3	7-8-8-6-7-8-7-5-4-7-8-1	4-8-4-7-8-4-1-1-8-8-4-8	8-7-8-8-8-7-8-5-4-8-7-5
604	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
604	1	1-1-2-1-1-2-1-3-1-1-1-2	3-0-0-0-2-2-1-2-2-0-1-2	1-2-0-2-1-1-2-4-2-2-1-2	2-2-2-1-0-1-2-1-2-2-2-2	2-2-0-2-2-2-0-0-2-2-2-0	0-0-2-0-0-2-0-0-0-0-2-0	0-1-0-0-0-0-0-2-0-0-1-0	2-2-0-2-2-0-2-2-0-2-0-0	0-2-0-2-2-3-2-0-3-0-0-0	2-0-0-2-2-0-2-0-3-2-2-2	2-0-0-0-0-0-0-0-3-0-2-0	3-0-0-0-0-2-0-2-0-3-2-1
604	2	1-2-1-1-1-1-2-5-1-2-2-1	2-1-0-3-1-1-1-1-1-2-2-1	1-4-0-3-3-1-1-1-1-1-1-1	3-1-1-1-2-2-1-1-1-1-1-1	1-2-2-1-1-1-0-3-3-1-1-3	0-0-1-1-2-1-2-1-0-0-3-3	0-1-2-2-0-0-2-1-0-3-0-4	1-1-3-1-3-2-1-1-2-1-0-2	0-1-2-1-1-1-1-0-0-0-0-2	1-0-2-1-4-2-1-2-2-1-1-2	1-2-2-2-0-3-1-2-0-0-1-3	1-4-2-0-5-1-2-1-3-4-1-2
604	3	3-3-3-3-3-1-3-1-5-3-3-4	4-4-1-2-1-1-2-1-1-2-2-4	4-2-4-2-2-1-4-1-4-4-3-1	2-4-3-1-4-3-1-4-1-1-4-1	1-2-3-4-3-1-3-2-2-5-1-2	0-2-3-4-2-1-2-0-0-3-4-2	4-0-0-0-4-5-5-1-0-2-3-4	1-1-2-1-4-0-1-5-2-5-3-5	4-1-3-1-1-1-1-0-1-4-4-3	1-0-3-2-5-2-2-2-1-5-1-4	1-2-0-3-0-2-4-2-1-5-1-2	1-4-2-0-0-1-3-1-2-1-1-2
604	4	5-4-4-3-5-5-5-4-4-5-4-5	3-5-5-2-5-5-5-1-5-2-4-3	3-2-3-4-2-1-3-5-3-3-5-1	3-3-4-3-4-3-4-3-1-4-3-1	4-4-4-3-3-1-4-2-4-4-5-4	0-2-3-4-2-3-4-0-1-4-3-1	3-0-0-0-3-5-3-1-0-5-2-3	5-1-2-0-3-0-1-5-4-2-5-4	3-1-3-0-5-1-5-0-5-4-3-2	1-0-3-2-2-2-5-2-2-2-2-3	4-3-4-3-0-2-3-2-4-3-1-0	2-2-4-2-2-1-2-0-2-2-4-2
604	5	5-5-5-5-4-4-4-2-5-4-2-4	4-4-4-2-5-4-4-5-4-5-5-5	5-5-3-5-5-1-5-5-5-5-4-5	5-5-4-5-2-3-5-5-1-5-3-5	5-5-5-3-3-1-3-0-5-3-4-0	5-5-3-5-5-5-5-0-5-5-4-5	5-1-0-2-1-3-3-1-0-4-2-5	4-1-2-5-3-5-5-4-2-3-4-3	3-1-5-5-1-2-4-5-4-5-3-2	1-5-5-5-3-5-4-2-2-3-1-5	2-5-5-0-5-4-3-1-5-3-2-5	5-2-0-0-2-0-5-0-0-5-0-2
605	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
605	1	1-1-1-1-1-1-0-0-1-1-1-2	0-0-0-0-2-2-0-1-0-0-0-1	3-3-0-0-0-2-0-2-0-1-0-0	2-2-1-3-0-1-2-0-3-2-1-2	2-2-0-0-1-1-0-0-2-0-2-0	0-0-0-0-0-3-2-0-0-0-2-0	0-0-0-3-0-1-0-0-0-0-0-2	3-0-0-0-2-0-0-0-0-0-0-0	0-0-0-0-1-2-1-0-2-3-0-0	0-0-0-0-0-0-0-0-2-0-0-0	1-0-0-1-0-2-0-0-0-0-2-2	1-0-0-0-0-3-0-0-2-0-0-0
605	2	2-2-2-2-2-2-2-0-1-2-2-1	2-1-0-0-1-1-2-3-0-0-3-2	2-2-0-2-2-1-3-1-3-3-3-3	1-2-2-1-3-3-2-3-1-1-2-1	1-1-2-0-2-1-4-0-1-0-3-1	0-0-2-3-0-1-1-0-0-0-1-0	0-0-0-0-3-3-1-0-0-0-2-1	2-3-0-1-1-0-2-0-2-2-0-0	3-4-0-0-2-1-1-3-4-3-1-0	2-0-2-2-4-0-0-3-1-0-0-4	2-0-2-0-0-1-0-2-2-3-1-1	1-1-0-0-2-1-0-0-1-0-0-0
605	3	4-4-4-3-4-3-4-3-3-3-4-3	4-4-4-0-4-4-4-2-4-0-2-4	1-4-4-3-3-4-2-4-4-2-3-2	4-3-2-1-3-2-3-2-1-1-4-4	3-1-2-0-2-1-2-0-3-0-4-3	0-3-4-4-3-1-3-0-0-3-4-0	3-0-0-1-2-2-3-4-3-4-0-4	1-2-0-3-4-3-0-4-3-3-4-3	2-2-0-3-3-1-3-2-3-1-0-0	2-2-2-3-2-0-4-4-1-3-0-2	3-0-3-3-0-3-3-0-3-2-4-1	1-0-0-0-3-1-3-0-3-0-3-0
605	4	4-4-4-4-3-3-3-3-3-4-3-3	3-3-3-4-3-3-3-3-3-4-4-3	4-4-3-4-3-3-4-4-3-3-3-4	3-4-4-3-4-4-4-4-4-4-3-4	4-4-4-0-2-1-2-0-4-0-3-0	4-4-3-3-4-4-4-0-4-3-3-4	4-4-0-3-2-2-3-3-3-3-0-4	3-4-3-4-3-4-4-4-0-4-3-4	1-2-4-4-4-3-1-4-2-4-0-4	4-4-4-4-2-4-3-3-0-4-4-2	0-4-4-0-4-3-0-2-4-2-3-4	4-0-0-0-3-0-4-0-0-0-0-0
606	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
606	1	1-1-1-1-1-1-1-1-1-1-1-3	0-0-0-0-1-2-2-1-1-0-1-2	2-2-0-2-0-0-2-0-0-2-0-0	2-2-2-2-0-2-2-0-4-2-0-0	2-2-0-2-2-2-0-0-2-2-0-2	0-0-2-0-0-2-2-0-2-0-2-0	0-2-0-0-0-0-0-2-0-0-0-2	0-3-0-2-2-0-2-0-0-0-0-0	0-3-0-2-0-4-2-0-2-2-0-0	2-0-0-0-2-0-0-0-3-0-0-0	2-0-0-0-0-2-0-0-0-0-2-3	0-0-0-0-2-3-0-0-0-0-0-1
606	2	2-2-2-2-1-2-2-2-2-2-2-1	2-1-0-2-1-1-1-2-1-2-2-3	2-1-0-1-2-2-1-2-1-1-0-3	3-1-1-1-4-1-1-0-1-1-2-2	1-1-1-1-1-1-0-2-3-1-2-3	0-3-1-0-2-1-1-0-1-0-3-2	0-1-2-0-0-1-0-1-0-5-0-1	0-0-3-1-1-0-1-0-2-1-0-0	0-5-2-1-0-0-1-0-1-1-0-0	1-0-0-0-3-2-3-0-1-3-3-0	1-2-0-0-2-1-0-0-3-0-1-1	0-2-3-0-1-1-2-0-1-0-0-1
606	3	3-3-3-2-3-3-3-2-4-3-2-1	2-0-0-2-2-1-3-4-1-2-2-3	3-1-4-2-4-3-4-2-2-4-0-2	2-1-1-4-2-4-1-3-1-1-3-2	1-1-4-4-4-2-3-3-2-4-2-2	3-2-4-4-3-1-3-0-0-0-4-3	0-5-0-5-4-4-5-1-4-0-4-4	5-4-2-1-4-3-1-5-2-4-0-5	4-1-5-1-3-5-1-4-1-1-5-3	1-4-3-0-5-4-2-0-1-2-4-4	1-2-0-3-3-1-0-5-4-4-1-1	0-4-2-0-0-1-3-3-2-0-3-0
606	4	5-4-4-5-4-5-5-2-4-3-2-5	5-5-4-2-5-5-5-5-4-2-2-5	4-4-3-5-3-5-3-5-5-3-4-5	2-4-4-3-2-3-5-4-1-1-5-5	4-1-3-3-3-1-4-0-3-1-5-2	3-4-3-4-3-5-4-0-5-4-5-2	4-5-4-2-3-5-4-5-3-2-3-3	5-3-5-1-3-3-4-5-0-4-0-4	3-4-0-4-5-1-5-3-0-4-0-0	1-3-3-0-4-3-5-4-0-5-3-3	4-3-4-0-5-4-4-0-3-3-5-4	0-3-0-4-4-1-4-0-4-0-4-0
606	5	5-5-5-5-4-4-4-2-5-5-2-4	4-4-4-2-4-4-4-4-5-5-5-4	4-5-5-5-5-4-5-5-5-5-0-5	4-5-5-5-5-5-5-5-5-5-4-5	5-5-5-3-3-1-4-0-5-3-5-2	5-5-4-5-5-5-5-5-5-4-4-5	5-3-5-3-4-4-4-4-5-2-1-5	4-3-5-3-4-5-5-5-2-5-5-5	3-1-5-5-4-4-5-5-5-4-3-3	5-5-5-5-3-5-4-4-0-4-5-5	0-5-5-0-4-1-0-3-5-5-4-5	5-0-0-0-0-5-5-0-0-0-0-0
607	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
607	1	1-1-1-1-1-1-1-1-1-1-1-1	0-2-2-1-2-2-0-2-0-1-0-2	3-2-0-0-1-3-0-3-2-2-0-2	2-0-1-2-0-0-0-0-1-2-1-0	2-1-1-0-4-1-1-0-2-0-2-0	0-1-1-0-0-3-2-1-0-0-2-0	0-2-0-4-0-0-0-1-0-0-1-2	0-2-0-2-2-0-1-0-2-2-0-1	0-2-0-2-1-2-2-1-1-2-2-0	1-0-0-2-0-0-0-2-2-0-3-0	1-0-2-0-0-2-0-0-0-0-2-2	0-0-0-0-1-1-0-2-2-1-2-0
607	2	2-2-2-2-2-1-2-2-2-2-2-2	3-1-1-2-1-1-0-1-0-1-2-3	0-1-3-0-0-1-3-1-1-3-0-1	1-2-2-1-2-3-3-3-1-1-4-1	3-1-2-0-3-1-2-0-1-0-1-2	2-2-3-3-2-4-1-0-0-0-1-2	0-1-2-0-0-3-2-1-2-0-2-1	3-1-2-1-3-0-1-4-2-1-2-2	3-1-0-1-3-1-1-2-1-1-1-0	1-2-2-1-2-3-2-1-1-0-1-3	1-3-2-3-0-1-1-2-0-3-1-1	0-3-0-0-1-1-0-1-1-2-1-0
607	3	3-3-3-2-4-3-4-4-3-3-3-4	4-4-4-3-4-4-4-3-4-3-3-4	1-4-2-3-3-1-2-1-4-3-4-2	4-3-1-3-3-2-2-2-1-1-1-1	2-1-4-0-2-1-2-3-3-0-4-3	3-3-4-2-3-1-3-0-0-3-4-3	3-4-3-1-0-2-3-0-3-0-2-2	4-2-4-1-4-0-3-3-3-3-2-3	2-4-0-3-3-1-1-2-3-3-0-0	1-2-3-3-2-2-4-4-1-4-1-2	3-2-3-2-0-3-3-2-3-2-4-1	0-3-3-3-3-2-3-3-3-3-3-0
607	4	4-4-4-4-3-1-3-3-4-4-3-3	3-4-3-4-4-3-3-3-3-4-4-3	4-4-2-4-4-1-4-4-4-4-3-4	3-4-4-4-4-2-4-2-4-4-1-4	4-4-3-4-1-1-2-4-4-2-4-3	4-4-3-4-4-4-4-0-4-3-3-4	4-4-4-1-0-2-3-4-3-4-1-3	3-4-3-4-3-4-4-2-3-2-3-4	2-3-4-4-4-3-1-4-3-3-1-4	4-4-4-3-2-4-3-3-0-3-4-4	4-4-4-3-4-1-0-0-4-4-3-4	4-4-4-0-4-4-4-0-0-3-1-0
608	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
608	1	1-1-2-2-1-1-1-1-1-2-1-1	2-2-2-0-3-2-1-2-2-0-2-1	1-1-0-1-1-2-2-2-2-2-2-1	2-1-1-1-0-1-1-1-2-2-3-2	1-1-1-1-1-2-1-0-2-2-2-2	0-0-0-0-0-2-2-0-2-1-2-0	0-1-0-0-2-0-0-2-0-1-2-0	2-2-0-2-2-0-0-0-1-2-0-0	0-2-0-0-3-2-0-1-0-0-2-0	2-0-0-0-2-1-1-0-2-0-4-0	2-0-0-1-0-0-2-0-2-0-2-0	1-0-3-0-0-0-0-0-2-3-0-0
608	2	1-1-1-1-1-1-1-1-1-1-1-1	1-1-1-1-1-1-1-1-1-0-1-1	2-1-3-2-2-1-3-1-1-1-1-1	1-2-2-1-3-2-1-0-1-1-1-1	2-1-2-1-2-1-4-0-1-1-3-1	0-0-2-2-0-1-1-0-1-0-3-0	0-0-0-0-1-2-1-1-0-0-1-3	1-1-0-1-3-0-2-4-0-2-0-0	3-1-0-0-1-1-3-1-4-3-3-0	1-3-2-2-4-0-0-4-1-0-0-4	1-0-2-0-0-2-1-4-1-3-1-0	0-2-0-0-0-2-0-0-1-1-0-0
608	3	4-3-1-4-4-4-4-3-4-3-4-4	4-4-4-4-1-4-4-1-4-1-1-4	3-4-4-3-1-1-4-4-4-2-4-3	4-3-3-3-2-3-3-3-1-4-1-4	3-3-2-3-3-4-3-0-2-4-4-2	0-3-4-4-3-1-3-0-1-3-4-0	3-3-0-0-4-3-4-4-4-4-4-2	4-1-0-3-4-3-0-0-0-4-4-3	2-1-3-3-1-1-4-3-4-2-2-0	1-2-2-0-0-0-4-0-0-0-0-2	3-0-3-3-3-0-3-0-3-2-4-0	1-2-1-3-3-1-3-0-1-4-1-3
608	4	4-4-4-3-3-3-3-3-3-3-3-3	4-3-3-3-4-3-3-3-3-4-4-3	4-3-3-4-4-4-4-3-3-4-3-4	3-4-4-3-4-4-3-4-1-4-3-4	3-4-4-0-3-3-2-0-4-3-3-0	4-4-3-4-4-4-4-0-4-4-3-4	3-4-0-3-3-2-3-3-3-3-3-4	1-1-4-4-3-4-4-4-3-3-4-4	0-1-4-4-4-1-3-4-3-4-4-4	2-4-4-4-2-4-3-2-0-2-1-4	4-4-4-0-4-3-0-2-4-2-3-4	4-0-0-0-4-0-4-0-0-3-0-0
609	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
609	1	1-1-1-1-1-1-1-1-1-1-1-2	1-0-0-1-2-1-0-1-0-1-1-1	1-0-0-0-2-1-0-2-2-0-0-0	2-0-1-0-2-1-0-0-0-0-1-0	0-0-1-0-0-2-0-1-2-3-1-2	1-2-0-2-1-0-2-0-0-1-2-1	2-0-3-1-0-0-1-0-0-2-1-0	2-0-0-0-2-1-4-0-1-0-0-0	1-0-1-0-0-0-0-0-1-0-2-1	0-0-1-0-0-1-0-0-1-1-1-0	1-0-1-1-1-1-0-1-1-1-0-0	0-1-0-2-2-0-1-0-0-2-1-0
609	2	2-1-2-2-2-2-2-1-2-2-2-1	3-3-0-1-1-2-2-2-0-1-1-2	3-3-3-3-1-2-3-1-1-2-0-1	3-2-2-3-2-2-3-3-2-0-3-0	0-0-2-0-2-1-5-1-1-3-0-1	2-1-2-3-1-4-1-0-3-2-3-1	1-3-2-3-3-3-3-0-2-1-2-3	1-4-2-0-3-1-0-1-0-2-2-2	3-0-2-4-0-0-0-0-0-3-1-2	0-3-2-0-0-2-0-0-2-2-0-3	2-0-2-1-2-0-1-2-3-2-0-0	0-2-0-1-1-1-2-1-0-1-1-2
609	3	3-3-3-3-3-2-3-3-3-3-3-4	4-2-5-1-4-3-3-3-4-1-1-4	4-4-2-4-4-4-2-5-4-4-2-4	4-3-4-4-3-2-2-3-0-0-2-5	4-3-4-0-2-4-2-1-4-1-4-4	2-3-4-4-3-2-4-0-2-4-4-1	4-2-1-2-2-2-2-4-0-0-2-2	0-2-2-0-2-3-0-5-3-4-4-4	2-0-2-2-3-0-0-3-3-4-4-0	0-4-2-0-4-2-5-0-3-3-0-3	3-1-4-5-3-0-4-0-2-2-3-0	0-2-0-4-4-3-3-4-3-4-3-4
609	4	4-5-4-4-5-5-5-3-4-3-5-5	5-5-3-1-5-3-3-5-5-1-4-3	3-3-2-4-3-3-4-4-3-3-5-3	3-3-3-3-3-4-4-4-4-4-2-4	3-4-3-4-4-3-1-4-3-4-4-3	4-4-3-3-4-2-4-0-4-3-3-1	3-4-1-1-2-1-4-4-4-5-2-4	1-2-2-4-4-4-1-1-3-3-3-3	2-5-4-2-3-0-5-4-5-3-3-0	0-3-4-5-3-2-5-0-4-3-0-5	3-1-3-3-2-3-3-4-4-4-5-0	0-3-0-3-3-3-4-3-4-3-3-4
609	5	5-5-5-5-4-4-4-1-4-5-4-4	5-5-3-1-5-4-4-4-4-5-5-4	5-5-2-5-5-3-5-5-5-5-4-5	5-5-4-5-5-4-5-5-5-5-3-5	5-5-5-5-2-3-2-5-5-4-5-4	5-5-2-5-5-5-5-0-5-5-4-5	5-4-5-1-0-5-5-4-5-4-3-5	3-2-3-5-4-5-5-5-4-5-5-5	2-4-5-5-5-1-4-5-4-5-5-5	5-5-5-4-4-5-3-2-5-5-5-5	5-5-3-3-5-0-2-5-5-4-4-5	5-0-5-5-5-5-3-3-5-5-3-0
