340	5	3-5-5-5-5-3-5-5-4-4-4-4	3-4-5-4-4-3-4-2-3-4-4-6	5-4-3-4-6-7-4-3-4-6-5-5	8-5-6-5-4-5-6-4-6-4-8-5	6-5-6-4-6-4-3-7-6-5-5-3	4-7-5-7-3-4-5-4-4-5-1-5	3-6-4-4-3-8-2-3-3-5-0-4	3-4-3-5-6-5-5-2-3-4-3-3	4-3-3-3-4-6-3-3-3-3-4-4	3-3-5-5-4-5-8-2-4-3-2-3	4-4-3-4-3-5-4-4-5-3-3-4	4-5-5-4-5-5-4-5-4-3-5-3
340	6	4-6-6-7-4-6-6-6-6-6-4-5	3-4-3-7-3-3-4-7-3-7-8-3	5-8-7-6-5-5-8-4-8-5-5-3	5-5-5-8-6-6-5-5-5-5-5-7	5-6-6-6-5-7-3-5-5-5-5-3	4-5-3-4-6-6-5-6-8-6-1-6	4-7-4-6-8-6-6-3-3-6-7-6	3-4-3-7-8-9-3-8-3-4-8-4	4-3-3-3-4-8-3-3-6-3-4-9	3-3-8-8-0-4-5-4-4-6-2-3	3-4-3-3-3-6-4-0-4-3-3-4	4-6-9-4-8-6-4-6-4-3-3-3
340	7	8-7-8-6-9-8-6-7-7-9-7-7	8-4-5-6-4-3-4-6-3-6-4-8	7-6-7-7-8-5-8-4-7-7-8-7	7-7-8-7-6-7-7-6-7-8-7-6	7-6-7-7-5-6-7-5-6-5-6-8	5-5-7-5-6-6-5-8-6-6-7-6	4-6-6-8-6-6-6-7-7-7-7-7	3-7-7-6-6-7-7-6-7-8-7-4	3-4-7-7-7-7-4-7-7-7-7-6	7-8-6-4-7-7-5-7-2-6-2-7	4-7-3-7-3-8-3-4-6-3-4-8	4-6-3-7-6-6-4-7-7-3-3-7
340	8	9-8-9-8-8-8-8-8-9-8-9-8	7-4-8-6-4-3-4-2-8-4-6-7	5-6-7-6-7-7-7-9-6-6-8-8	5-5-7-6-7-7-7-9-7-7-5-6	8-6-7-6-5-7-7-5-6-5-6-7	4-5-8-1-6-6-5-7-6-6-7-6	7-6-4-7-6-6-6-8-7-7-0-8	3-7-8-8-6-8-8-6-7-7-6-8	3-4-3-8-3-6-8-4-8-6-4-4	7-7-6-4-4-7-5-4-4-6-2-7	4-3-3-4-8-7-8-4-3-3-8-7	4-4-5-4-6-6-8-4-7-8-8-8
340	9	9-9-9-9-9-9-9-9-9-9-9-9	7-4-8-6-9-3-4-9-9-9-9-7	9-9-7-9-7-9-9-9-9-9-9-7	5-9-7-9-9-9-9-8-7-9-9-9	8-9-9-9-5-9-7-9-9-9-9-7	4-9-8-9-6-6-9-7-4-9-1-5	4-9-6-6-9-9-9-8-7-9-9-3	3-9-3-9-9-6-9-9-7-9-7-8	3-9-9-9-9-9-8-4-9-9-9-6	9-9-2-5-9-9-5-8-9-6-9-9	9-9-9-9-8-9-8-9-6-9-9-9	9-9-9-4-9-6-4-9-9-9-9-6
341	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
341	1	1-1-1-1-1-1-1-1-1-1-1-1	1-0-1-1-0-0-0-1-1-0-1-0	0-0-0-0-1-0-0-0-0-0-0-1	0-0-0-2-1-0-5-2-0-2-0-0	0-0-0-0-2-2-2-0-0-0-2-2	0-0-2-0-1-0-0-1-0-0-0-1	1-1-0-1-1-0-0-1-0-1-0-0	1-1-1-1-0-1-1-0-1-1-1-1	1-1-1-1-1-2-5-1-1-1-0-1	1-1-0-0-1-1-1-0-0-0-0-1	1-1-0-1-1-1-1-0-1-0-1-0	1-1-1-1-0-0-1-1-1-1-1-1
341	2	2-2-2-2-2-2-2-2-2-2-2-2	2-2-1-2-3-0-2-2-1-2-2-2	2-3-2-3-0-0-3-6-2-2-2-1	0-1-1-1-2-0-1-1-2-3-0-0	3-2-2-4-1-1-1-2-2-0-1-1	2-2-1-3-1-6-2-1-3-2-1-2	2-2-4-2-2-2-2-2-2-2-0-2	2-3-2-2-2-1-1-2-2-2-1-2	2-2-1-1-2-1-1-2-2-2-2-2	1-2-2-3-3-2-2-2-2-2-2-2	3-2-2-1-1-2-2-2-2-2-1-2	4-2-1-2-2-2-2-2-2-2-1-2
341	3	4-3-3-4-3-3-3-3-4-3-3-3	4-4-4-4-4-4-4-4-4-4-4-4	4-4-4-4-4-4-4-4-3-3-3-3	3-3-4-3-4-3-1-3-3-4-6-3	4-4-3-2-1-4-12-5-3-3-3-3	2-4-1-4-4-5-4-4-4-3-5-3	3-4-2-4-4-3-4-5-3-4-4-3	3-2-3-3-6-4-4-4-3-3-3-4	2-3-3-4-4-3-11-2-3-2-3-5	4-4-2-2-6-6-6-4-3-5-3-4	2-3-4-4-1-8-6-4-6-3-2-4	3-4-4-2-4-5-2-4-5-4-4-6
341	4	3-3-3-3-3-3-3-3-3-3-3-3	3-3-3-3-3-3-3-3-3-3-3-3	3-3-3-3-3-3-3-3-3-3-4-3	4-5-3-5-3-4-1-4-5-5-4-5	3-5-4-2-5-5-3-3-5-5-5-3	5-3-5-5-5-3-3-5-3-5-3-5	2-3-2-3-3-4-3-6-3-3-3-3	3-2-3-3-3-3-4-3-3-3-3-3	2-3-3-3-3-3-1-3-4-4-2-3	3-3-5-2-3-3-3-3-3-6-3-3	2-3-3-3-2-3-3-3-3-3-1-3	2-3-4-2-3-3-2-5-2-3-3-4
341	5	3-3-3-3-3-5-3-3-3-3-3-5	3-3-3-3-7-3-7-3-3-7-6-7	3-7-3-3-3-3-6-3-6-6-5-4	4-4-3-4-4-6-1-6-4-4-3-4	6-4-4-7-4-4-1-3-4-4-4-4	4-3-4-4-5-3-3-4-3-4-6-4	2-3-6-3-3-3-5-3-5-3-3-3	3-3-5-3-5-3-3-6-3-3-10-3	3-3-3-5-3-3-1-5-4-4-2-11	5-3-4-3-3-3-3-3-5-3-6-3	2-5-5-3-5-3-3-3-3-4-1-2	3-4-5-2-7-3-1-4-3-3-3-4
341	6	3-3-3-5-3-3-3-3-3-3-3-3	7-3-3-7-5-6-5-3-7-3-5-5	8-6-3-6-7-4-7-3-5-5-6-7	4-4-7-4-6-5-10-7-6-7-7-4	5-6-6-6-8-7-8-3-4-4-4-7	4-3-7-4-6-2-3-7-3-4-5-4	6-3-7-3-3-3-3-4-6-6-3-6	3-2-7-6-3-3-7-5-6-3-7-3	3-7-8-7-3-7-7-2-6-4-7-2	7-3-5-3-3-3-3-3-5-4-5-3	7-5-3-6-6-3-3-3-3-6-7-3	2-6-8-2-5-0-6-6-6-7-3-4
341	7	3-7-3-3-3-3-3-5-3-3-3-3	6-6-6-6-5-6-5-3-6-5-5-5	8-5-3-7-6-8-6-8-7-8-6-6	8-8-6-8-7-8-6-6-8-6-6-8	6-7-8-5-8-6-6-7-8-3-8-6	8-7-6-8-8-3-3-6-3-7-6-4	6-3-6-3-3-11-5-7-6-3-3-7	3-3-6-7-5-3-6-5-6-3-5-6	2-6-6-6-3-7-6-3-7-4-6-2	6-3-7-12-3-3-3-3-7-7-6-8	6-6-3-6-6-6-8-3-3-7-6-3	2-6-7-2-5-8-8-7-6-6-6-7
341	8	8-8-3-3-8-3-8-8-8-8-9-8	6-8-3-8-5-3-8-8-6-5-5-5	6-9-7-8-5-7-9-9-8-7-6-6	7-7-8-7-8-7-6-6-7-9-6-7	9-5-7-10-6-6-6-3-7-3-7-6	8-9-6-7-7-8-8-9-9-7-5-7	10-8-10-3-3-8-5-7-6-8-3-8	8-9-8-3-8-3-6-5-8-8-6-8	8-8-6-6-3-7-6-12-7-4-8-8	8-3-8-10-3-8-3-8-8-8-8-7	8-8-7-8-6-3-7-3-8-7-6-3	8-6-6-8-5-7-7-8-8-8-6-7
341	9	10-11-10-9-11-10-11-10-9-10-11-10	10-11-10-9-10-11-11-11-10-11-10-10	10-8-10-10-11-11-11-12-9-10-9-12	9-9-10-9-8-9-6-10-10-10-10-10	10-9-10-8-12-10-12-11-10-11-9-6	8-10-6-11-10-12-10-8-8-9-12-9	9-9-8-10-11-12-10-9-10-12-11-10	11-8-10-10-9-12-12-12-10-10-12-9	8-9-12-12-11-10-12-10-10-12-12-5	8-9-8-12-3-10-9-8-10-10-9-10	8-11-10-6-6-3-9-3-11-10-6-11	10-10-9-8-12-9-7-8-8-11-10-12
341	10	9-9-9-9-9-9-9-9-9-9-9-9	9-9-9-9-9-9-9-9-9-9-9-9	9-11-9-9-9-9-9-9-11-9-9-6	11-10-9-11-9-10-6-9-10-9-9-9	9-10-9-8-6-9-6-9-11-9-11-6	11-9-6-10-9-9-9-10-9-9-9-11	8-9-8-9-10-11-9-9-9-10-9-9	9-8-9-9-9-9-9-9-9-9-5-10	8-9-9-6-9-9-6-9-10-10-8-5	8-9-10-8-3-9-12-8-9-10-8-9	8-9-9-8-6-3-9-3-9-9-6-9	9-9-9-10-9-9-8-8-8-9-9-7
341	11	9-9-9-9-9-9-9-9-9-9-9-9	9-9-9-9-9-9-9-9-9-9-9-9	9-10-11-9-9-9-9-9-10-9-10-11	10-10-9-10-11-10-6-10-11-9-11-10	11-10-11-8-9-11-11-9-10-9-10-12	10-9-11-9-11-9-9-11-9-7-11-10	8-9-8-11-9-7-9-11-9-9-11-11	9-9-9-9-9-9-9-9-11-11-11-9	8-9-9-11-9-9-9-9-12-12-9-5	8-9-10-9-3-9-9-11-9-10-9-9	9-9-9-9-8-12-9-3-9-9-8-11	9-9-9-11-9-9-7-8-8-9-9-9
341	12	9-9-9-9-9-9-9-12-12-10-9-9	9-9-9-9-9-9-9-9-9-9-9-9	9-9-9-12-9-9-10-9-12-12-12-9	9-9-9-9-12-11-12-10-9-11-9-12	11-10-11-8-9-11-11-7-9-12-10-11	8-9-6-12-9-9-9-11-9-9-9-9	9-12-8-9-12-9-12-9-9-9-12-9	9-12-9-9-12-9-9-9-11-12-9-9	9-12-9-9-9-12-9-8-11-12-9-8	12-12-10-9-12-9-10-9-12-10-12-12	12-9-12-12-9-11-9-3-9-12-12-12	12-9-9-11-9-9-8-12-12-9-12-9
342	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
342	1	1-1-0-1-1-1-1-1-1-1-1-1	1-0-1-1-0-0-0-0-1-0-0-1	2-0-0-2-0-0-1-0-0-0-1-2	2-2-2-2-2-2-1-0-2-2-2-0	0-0-1-0-2-2-4-0-0-1-2-1	0-2-2-2-2-0-0-2-1-0-2-0	0-0-1-1-0-0-0-1-0-1-1-1	0-0-3-4-1-1-1-1-0-0-1-0	2-4-2-3-1-1-3-0-1-1-0-0	1-1-1-2-3-0-1-4-1-0-3-1	0-1-1-1-1-3-1-0-1-1-1-0	0-1-0-1-0-0-0-1-1-1-0-1
342	2	2-2-2-2-2-2-2-2-2-2-2-2	2-2-1-2-2-2-2-2-1-2-2-2	2-3-0-3-3-2-3-3-2-2-2-1	3-1-1-3-2-2-1-3-2-1-1-2	3-2-3-3-1-1-1-2-2-1-1-1	2-1-1-1-1-5-3-1-2-2-3-2	3-2-3-1-2-2-2-1-3-2-0-2	4-5-2-2-2-1-1-1-4-2-1-2	1-2-1-1-3-1-1-3-2-2-6-2	1-2-2-1-1-3-1-2-2-2-2-2	2-2-1-1-2-2-3-5-2-2-1-2	3-2-2-2-2-0-2-2-1-2-2-2
342	3	3-5-3-3-3-2-3-3-3-4-3-3	2-2-3-2-2-3-2-3-1-2-3-3	4-2-4-3-6-4-2-2-4-4-3-3	4-5-4-5-4-3-1-2-3-4-1-3	2-2-4-2-4-2-1-7-3-7-5-1	5-5-5-4-1-2-2-2-2-3-2-5	2-2-2-4-2-5-2-5-2-3-0-3	3-2-1-5-5-5-3-1-2-2-4-3	1-3-1-1-2-3-1-2-3-3-2-2	1-4-4-1-1-2-4-1-2-5-2-3	2-2-3-1-1-4-4-2-4-3-4-2	2-3-2-4-2-0-4-4-1-2-3-5
342	4	4-4-3-4-5-4-4-4-4-3-4-4	4-2-4-2-5-3-2-3-4-2-5-4	3-5-3-5-3-3-5-6-5-3-5-4	3-3-3-3-3-4-1-5-5-3-1-5	4-4-3-5-3-4-1-3-3-3-3-1	3-3-3-4-4-4-4-4-4-3-4-3	4-4-5-3-5-3-4-3-4-4-5-5	2-4-4-1-4-3-4-4-2-4-4-3	1-1-4-4-2-5-1-4-3-3-1-2	1-5-3-4-7-2-3-4-5-3-5-3	2-4-4-1-4-3-3-4-3-4-3-4	8-3-4-3-4-4-3-3-1-4-3-2
342	5	5-3-5-5-4-5-5-5-5-5-5-5	5-2-5-2-4-3-2-2-6-2-4-5	5-4-3-5-3-4-4-5-4-3-6-6	4-3-3-3-5-4-6-4-4-6-8-4	4-4-5-4-7-5-7-3-3-3-3-7	3-3-7-1-5-4-4-5-7-3-5-3	5-4-4-5-5-3-5-3-6-5-5-4	5-2-5-3-3-3-5-3-5-6-5-0	2-5-5-6-2-4-5-5-5-3-2-5	1-5-2-4-4-6-3-4-4-3-4-5	2-5-4-1-5-5-5-2-0-5-5-4	5-5-5-0-4-5-6-2-1-4-5-5
342	6	7-6-6-6-6-6-6-6-7-6-6-6	7-6-7-6-4-7-6-6-7-7-8-7	7-6-7-4-7-7-7-7-7-7-5-5	3-7-7-7-6-7-5-7-7-7-5-4	7-6-7-4-8-7-5-3-6-3-7-8	2-7-7-7-5-6-4-7-7-6-7-7	5-7-4-7-6-7-7-6-5-6-5-6	6-2-6-6-3-7-5-6-5-6-4-6	1-7-5-5-2-7-7-6-5-6-2-2	4-5-2-2-4-6-3-9-6-3-4-7	2-6-4-1-5-6-5-2-6-6-5-6	2-6-9-2-6-8-6-6-1-6-7-9
342	7	6-6-6-6-6-6-6-6-6-6-6-7	6-8-6-6-6-6-7-6-6-6-6-6	6-8-6-7-6-6-8-6-8-8-6-6	8-6-8-8-6-6-5-6-6-6-5-8	6-8-6-8-5-6-5-3-6-3-6-5	7-6-6-6-6-8-8-8-8-6-6-6	7-6-7-6-6-6-6-6-8-6-7-6	7-7-6-6-7-6-6-6-7-7-6-6	7-6-5-5-7-6-6-8-6-6-7-7	9-7-8-8-7-7-7-7-7-7-4-6	7-7-4-1-5-7-6-9-7-6-3-7	7-6-6-8-6-8-8-6-8-6-6-7
342	8	8-8-8-8-8-9-8-6-6-8-9-8	6-7-8-6-9-9-6-6-6-7-6-6	9-7-9-8-9-9-7-7-7-7-8-9	7-8-7-7-7-7-5-7-9-9-5-7	7-7-9-7-6-7-6-8-8-8-9-6	8-8-6-8-6-7-7-7-7-7-5-9	7-6-7-9-6-8-6-9-6-8-8-9	7-7-6-9-8-9-9-9-6-6-9-8	9-6-5-6-9-8-9-7-9-6-7-7	8-9-7-9-7-9-8-7-7-8-8-8	7-8-8-9-5-6-8-7-7-8-9-7	4-9-6-9-6-7-7-8-7-6-9-8
342	9	8-9-8-9-8-8-8-9-9-9-9-9	8-7-8-6-8-8-6-8-6-9-6-8	8-7-8-8-8-8-7-9-9-9-9-8	8-9-7-9-9-7-9-7-8-8-9-9	6-6-8-7-8-8-8-8-9-9-8-8	7-8-5-9-6-8-7-8-0-6-6-8	7-9-7-8-9-9-9-8-6-9-9-8	8-9-8-8-9-8-9-9-8-9-8-6	8-9-9-9-9-9-8-7-9-9-7-7	9-8-8-8-9-8-9-8-9-8-8-9	9-9-9-9-6-6-6-9-7-9-9-9	9-8-6-8-9-9-7-9-9-9-9-6
343	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
343	1	1-1-1-1-1-1-1-1-1-1-1-1	1-0-1-0-0-0-0-0-1-0-0-0	0-0-0-1-2-0-0-0-0-0-0-1	0-2-1-2-0-0-2-0-2-2-0-0	0-2-1-0-2-2-3-0-0-0-2-3	0-0-3-0-4-0-0-2-2-1-2-0	1-0-0-1-1-2-0-2-4-1-0-0	1-1-1-1-1-1-1-0-1-1-1-1	1-1-1-2-1-1-3-1-1-1-0-1	3-1-0-2-0-1-1-0-0-0-0-1	1-1-0-1-1-1-1-0-0-0-3-0	1-1-1-1-1-1-1-1-1-1-1-1
343	2	2-2-2-2-2-2-2-2-2-2-2-2	2-3-0-2-2-0-2-2-1-2-2-0	2-3-0-3-1-0-3-3-3-2-0-1	0-1-1-3-3-0-1-3-1-3-3-0	3-1-3-3-1-1-1-2-3-0-1-1	3-3-1-3-1-5-3-1-3-2-1-2	2-2-6-2-5-2-2-2-3-2-0-2	2-6-2-2-2-1-1-5-3-8-1-2	2-1-1-1-2-1-4-2-3-2-5-2	1-2-3-7-0-2-1-5-2-2-6-2	5-2-2-2-1-2-2-5-7-2-1-2	5-2-2-2-4-2-2-2-1-2-2-2
343	3	3-3-2-3-3-3-3-3-3-3-3-2	4-2-4-2-3-4-2-5-3-2-4-3	3-2-0-2-4-5-5-5-4-5-3-1	4-3-3-4-2-3-1-4-0-2-2-5	4-4-2-2-1-4-1-7-2-3-4-1	2-2-1-5-1-2-3-2-2-3-1-3	2-3-3-3-0-3-3-3-2-2-0-2	2-2-3-1-5-1-3-3-2-3-1-2	2-3-1-3-2-5-1-3-2-3-2-2	1-1-2-2-0-3-3-9-2-3-0-3	2-2-4-1-1-2-3-2-3-4-1-2	2-8-3-2-5-5-2-3-1-5-3-2
343	4	4-5-4-5-4-4-5-4-4-5-5-4	5-2-4-5-5-3-2-3-5-5-3-4	3-3-6-4-4-4-4-5-3-4-4-4	5-5-4-5-5-4-4-4-4-4-4-3	3-5-4-4-6-4-4-3-5-4-5-1	4-5-4-3-5-3-3-5-2-5-7-5	2-3-3-4-4-5-2-5-1-5-4-5	5-2-5-4-3-5-4-9-4-4-9-4	2-4-1-4-4-4-9-6-4-5-2-9	6-1-9-9-2-3-5-2-2-5-7-4	2-4-4-5-1-4-1-7-5-4-5-7	2-3-4-8-7-3-2-4-2-3-5-5
343	5	4-4-4-4-4-4-4-4-5-4-5-5	4-2-5-4-4-4-2-3-4-4-4-4	4-3-4-6-5-4-3-3-3-3-5-5	4-4-7-4-4-6-1-6-4-6-4-3	6-4-4-6-1-6-1-3-4-4-4-6	2-4-5-3-6-2-3-6-2-4-5-4	6-3-7-5-4-4-6-4-6-4-6-4	4-2-5-6-3-4-5-6-5-4-7-6	7-7-5-7-5-3-7-8-5-4-2-4	7-7-4-2-8-6-4-2-2-4-0-4	2-5-4-4-7-7-2-2-2-4-7-4	2-5-5-2-3-3-2-2-7-3-4-4
343	6	6-4-7-4-6-4-6-7-7-6-6-6	4-2-5-4-5-6-2-3-4-2-4-8	3-6-4-5-9-4-7-3-6-7-7-7	7-7-4-6-7-7-6-5-7-5-4-3	5-4-7-5-7-5-5-3-6-7-7-5	7-4-5-3-5-2-7-5-3-6-5-7	5-3-5-5-6-6-5-8-5-4-6-4	5-2-5-5-3-4-5-5-5-6-5-6	5-8-5-5-4-6-5-4-5-4-2-2	5-5-7-2-8-5-4-2-2-4-2-4	8-5-4-5-5-5-2-2-2-6-5-4	2-5-6-4-6-3-8-6-5-3-5-6
343	7	8-7-8-7-7-7-7-8-8-8-7-7	4-2-5-8-5-8-8-7-4-8-9-9	8-7-7-8-6-8-8-9-7-6-6-6	6-6-5-8-7-7-1-8-6-6-4-8	8-8-6-7-6-6-1-3-6-6-6-5	6-5-5-6-6-8-6-5-2-7-1-6	7-7-5-5-7-6-7-6-5-7-7-7	7-7-5-7-7-4-5-7-5-7-5-7	5-5-5-5-4-8-5-7-7-7-2-4	5-5-7-2-7-7-9-2-2-4-4-4	5-9-7-4-5-5-2-4-2-7-5-4	2-7-6-7-4-3-6-7-5-4-5-4
343	8	7-8-7-7-7-7-7-7-7-7-7-8	9-2-6-7-8-7-7-7-4-7-7-6	9-8-9-8-6-9-8-7-8-8-9-8	6-8-8-7-8-8-8-7-8-9-8-7	7-7-8-8-6-8-9-3-7-6-6-9	6-4-8-3-7-7-4-8-2-6-8-4	5-8-8-5-7-6-7-6-9-7-8-8	4-7-8-6-4-4-5-6-8-7-8-8	8-8-5-8-5-7-6-5-9-5-2-8	8-8-7-2-8-8-7-8-6-4-9-4	6-8-8-4-8-8-2-2-4-6-8-8	2-7-8-4-8-3-6-8-5-3-4-4
343	9	9-9-9-9-9-9-9-9-9-9-9-9	8-8-6-7-9-7-7-7-9-9-7-6	8-8-8-8-6-8-9-7-9-9-8-8	6-9-8-9-9-8-8-8-8-8-9-9	8-8-8-9-4-8-8-9-9-9-9-8	6-9-8-9-9-7-9-8-2-9-8-6	9-9-9-5-9-9-9-6-8-9-9-4	9-9-8-9-9-4-9-4-8-9-8-8	8-9-9-4-9-9-4-2-8-9-4-4	9-9-4-4-9-9-7-4-9-7-9-9	9-9-9-9-8-8-4-9-2-9-9-9	9-9-9-4-9-9-2-9-9-9-9-7
344	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
344	1	1-1-1-1-1-1-1-1-1-1-1-1	1-1-1-1-0-1-0-1-1-0-0-0	0-0-0-0-0-0-0-1-0-0-0-1	0-0-0-0-0-0-2-0-0-0-0-0	0-0-2-0-2-2-2-0-0-1-2-2	0-0-2-2-2-0-0-2-1-0-0-0	1-0-0-1-1-1-0-2-0-1-1-0	1-1-1-1-1-1-1-1-1-1-1-1	1-1-1-2-1-2-1-1-1-4-0-0	1-1-0-0-1-1-1-1-1-1-1-1	1-1-1-1-2-0-1-0-1-1-2-1	1-1-0-1-0-0-1-1-1-1-1-1
344	2	2-2-2-2-2-2-2-2-2-2-2-2	2-2-1-2-2-2-2-2-2-2-2-0	2-3-0-3-0-0-3-1-3-2-2-0	0-1-1-2-3-0-1-3-0-3-0-2	3-2-1-3-1-1-1-2-2-0-1-1	4-2-1-1-1-6-2-1-3-2-0-2	2-2-8-2-2-2-2-1-3-2-2-2	2-8-2-2-2-1-1-1-2-2-1-2	2-2-1-2-2-1-2-2-2-2-2-2	1-2-2-4-3-2-2-4-2-2-2-1	2-2-2-2-1-2-2-4-2-2-1-2	4-2-2-2-2-0-2-2-1-2-2-1
344	3	3-3-3-4-3-3-4-3-3-4-3-3	4-4-4-4-4-4-2-4-4-4-5-4	3-4-4-4-4-3-4-4-4-3-3-3	3-3-4-4-4-4-5-4-3-4-4-4	4-3-3-2-1-4-9-4-3-3-3-5	2-6-3-3-4-4-4-4-6-3-4-3	3-4-6-6-6-4-4-3-5-3-4-3	3-2-3-3-4-5-4-4-3-4-3-6	2-3-3-3-4-3-5-2-3-3-5-5	2-4-2-6-4-4-4-6-4-3-5-4	2-4-4-4-4-3-6-4-6-3-2-3	3-4-3-2-3-0-3-5-1-4-4-3
344	4	3-3-3-3-3-3-3-3-3-3-3-3	3-3-3-3-3-3-2-3-3-3-2-3	5-3-3-3-3-3-3-3-3-3-3-4	5-6-3-5-3-3-3-3-5-3-5-3	3-5-5-2-5-5-3-3-5-4-6-1	2-3-6-3-3-3-3-3-3-5-3-5	2-3-2-3-3-3-3-4-2-4-3-4	3-2-1-3-3-6-3-3-2-3-5-3	2-3-3-3-3-3-4-3-4-6-2-2	1-3-4-3-3-3-3-2-3-4-3-4	2-3-3-3-3-3-3-3-3-3-4-3	2-3-3-5-3-0-2-4-1-3-3-6
344	5	5-3-3-3-3-3-3-3-3-3-3-5	3-3-3-3-5-3-3-3-3-3-6-6	4-5-3-6-4-3-6-3-5-3-6-5	6-3-3-4-3-3-3-3-6-4-4-3	3-4-4-8-4-6-1-3-4-4-4-3	2-3-4-3-5-3-3-3-3-4-3-4	2-3-3-3-3-3-3-4-3-3-3-6	3-5-5-3-3-3-5-1-5-3-4-3	2-3-3-5-6-3-3-3-4-3-3-3	1-3-4-3-3-3-3-3-3-4-6-3	2-3-3-3-5-3-3-3-3-6-1-3	2-3-5-4-5-5-2-3-1-3-3-3
344	6	3-6-3-5-3-6-3-3-3-3-3-3	3-3-3-3-5-3-3-3-3-3-5-5	3-5-3-5-6-3-5-3-6-3-5-6	5-4-3-4-5-6-6-7-5-6-6-3	7-4-4-5-6-6-3-3-4-4-4-8	2-3-9-3-6-2-3-6-3-3-3-4	6-3-3-3-3-3-3-4-8-3-3-3	3-3-8-3-3-4-6-3-8-2-6-3	2-8-8-8-5-6-8-6-6-4-3-2	8-6-4-3-3-3-6-3-3-4-5-6	2-3-6-3-6-3-3-3-3-5-8-3	2-6-6-2-6-9-6-3-6-3-3-4
344	7	7-7-8-8-9-8-8-7-7-8-9-8	9-8-8-8-8-8-8-8-8-8-9-9	9-8-8-8-8-8-8-8-8-8-7-9	7-8-8-8-8-8-6-8-9-8-8-8	6-8-7-7-6-6-8-9-7-7-7-6	4-8-4-8-6-8-8-8-8-8-8-7	9-8-3-3-8-7-8-9-9-7-8-9	8-9-9-3-8-7-6-9-7-8-9-8	9-7-9-8-9-7-9-8-7-3-9-9	9-8-8-9-8-8-8-9-3-3-5-8	2-8-8-9-6-8-9-9-8-7-6-3	7-9-9-2-8-9-6-3-7-8-3-9
344	8	7-7-7-7-7-7-7-7-7-7-7-7	7-7-7-7-7-7-7-7-7-7-7-7	7-7-7-7-7-7-7-7-7-7-7-8	7-7-7-7-7-7-8-7-8-7-7-7	9-7-8-5-8-8-7-7-8-8-8-6	8-7-6-7-6-7-7-7-7-7-7-8	6-7-2-3-7-8-7-8-6-8-7-8	7-2-6-3-7-8-6-3-6-7-6-7	2-6-6-6-5-7-6-7-8-8-2-9	6-7-4-3-3-7-7-7-3-8-5-7	7-7-7-7-6-7-3-7-7-6-6-7	2-7-9-9-7-7-6-8-6-7-3-3
